"RCS","CGI_LITHOLOGY_URI","CGI_LITHOLOGY_LABEL","INSP_LITHOLOGY_URI","INSP_LITHOLOGY_LABEL"
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
AGG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia,"tuff-breccia, agglomerate, or pyroclastic breccia"
SV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
STMD,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
STMD,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
GBAN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gabbro,gabbro
MONCHQ,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ultramaficIgneousRock,ultramafic igneous rock
MONCQN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ultramaficIgneousRock,ultramafic igneous rock
NBSN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basanite,basanite
OLBA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
OGNHB,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,gneiss
OGNSF,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,gneiss
OGNSM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,gneiss
OGNSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,gneiss
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment,gravel size sediment
OGMS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
OGMS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,gneiss
BA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
BATUF,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ashTuffLapillistoneAndLapilliTuff,"ash tuff, lapillistone, and lapilli tuff"
CONG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate,conglomerate
FPBA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
FPHAW,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
MUG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ultramaficIgneousRock,ultramafic igneous rock
OLBA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
VCBR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock,pyroclastic rock
LMPY,,,http://inspire.ec.europa.eu/codelist/LithologyValue/exoticAlkalineRock,exotic alkaline rock
AGG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia,"tuff-breccia, agglomerate, or pyroclastic breccia"
BAMG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
BAMG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gabbro,gabbro
SDSM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
CONG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate,conglomerate
SDSL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
SDSL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
BREC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/breccia,breccia
PDTTRO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/peridotite,peridotite
PDTTRO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basicIgneousRock,basic igneous rock
PDTTRO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/peridotite,peridotite
PDTTRO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basicIgneousRock,basic igneous rock
PDTTRO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/peridotite,peridotite
PDTTRO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basicIgneousRock,basic igneous rock
DI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/diorite,diorite
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
DI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/diorite,diorite
PYRBRC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock,pyroclastic rock
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
CALSST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
LMOOL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
QPSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
QPSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
FEST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock,iron rich sedimentary rock
CZ,,,http://inspire.ec.europa.eu/codelist/LithologyValue/clay,clay
LMAR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
FEST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock,iron rich sedimentary rock
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
QZTD,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
SEMPEL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,semipelite
MCONG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
PSMF,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
PSAMG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
SPPM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment,gravel size sediment
BRCG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/breccia,breccia
BRCG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate,conglomerate
MLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
QSPP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
QSPP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
DOLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/impureLimestone,impure limestone
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
DOLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/impureLimestone,impure limestone
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
MDSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
MDSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
MDSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
MDSTSL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
AGG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia,"tuff-breccia, agglomerate, or pyroclastic breccia"
MSSSL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
MSSSL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
MSSSL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
MSCI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
MSCI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock,iron rich sedimentary rock
MSCI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
MSCI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
MSCI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
ANDB,,,http://inspire.ec.europa.eu/codelist/LithologyValue/andesite,andesite
SDSM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/mudstone,mudstone
SDSM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
SDSM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
CALSIR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock,metasomatic rock
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
MLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
PSAMI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PSAMIF,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PSAMM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
XSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/clay,clay
XSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
XSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/silt,silt
LMSTS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/impureLimestone,impure limestone
SV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment,gravel size sediment
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
PSAMI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
COSD,,,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate,conglomerate
COSD,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
MDSST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
MCGBAO,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gabbro,gabbro
FTUFF,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ashTuffLapillistoneAndLapilliTuff,"ash tuff, lapillistone, and lapilli tuff"
LPTUF,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ashTuffLapillistoneAndLapilliTuff,"ash tuff, lapillistone, and lapilli tuff"
AND,,,http://inspire.ec.europa.eu/codelist/LithologyValue/andesite,andesite
BAANDT,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
BANB,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
VCBR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock,pyroclastic rock
COSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate,conglomerate
COSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
COSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
VCSST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock,pyroclastic rock
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
PEGP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
PEPH,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
MLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
PEL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
PELGP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
SEMPEL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,semipelite
AMPHB,,,http://inspire.ec.europa.eu/codelist/LithologyValue/amphibolite,amphibolite
BREC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/breccia,breccia
HSPS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
MARBLE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/marble,marble
MBA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
MGHB,,,http://inspire.ec.europa.eu/codelist/LithologyValue/schist,schist
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
CALSIR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock,metasomatic rock
SPELGN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,semipelite
CALSIR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock,metasomatic rock
BAMCP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
BARPMA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
TUAG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia,"tuff-breccia, agglomerate, or pyroclastic breccia"
TUAG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ashTuffLapillistoneAndLapilliTuff,"ash tuff, lapillistone, and lapilli tuff"
MLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
MPSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
MSDR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
PELMI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
PSAMG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PSAMM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PSMQZ,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PSP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
CALSIR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock,metasomatic rock
MLMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
PELGP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
PSSP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
SCHM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/schist,schist
SPQP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
SPQP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
PSQU,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PSQU,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
CPSS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
PELGP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
PESP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
PSSP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
MMLM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
PEPH,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
QSPP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,pelite
QSPP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
AMPHB,,,http://inspire.ec.europa.eu/codelist/LithologyValue/amphibolite,amphibolite
CALSCH,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock,metasomatic rock
PSSP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,psammite
QZITE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
SEMPEL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,semipelite
SPSQ,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,semipelite
SPSQ,,,http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,quartzite
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
WACKE,,,http://inspire.ec.europa.eu/codelist/LithologyValue/wacke,wacke
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment,gravel size sediment
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
XSV,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment,gravel size sediment
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
GNR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/granite,granite
COAL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/coal,coal
MCABR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
SPMC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metasomaticRock,metasomatic rock
SPMC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,metamorphic rock
DI,,,http://inspire.ec.europa.eu/codelist/LithologyValue/diorite,diorite
DIR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/diorite,diorite
GD,,,http://inspire.ec.europa.eu/codelist/LithologyValue/granodiorite,granodiorite
GN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/granite,granite
MCGN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/granite,granite
BA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
HAW,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
XVSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/clay,clay
XVSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,sand
XVSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/gravelSizeSediment,gravel size sediment
XVSZC,,,http://inspire.ec.europa.eu/codelist/LithologyValue/silt,silt
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
LMOOL,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
SDST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
DMTN,,,http://inspire.ec.europa.eu/codelist/LithologyValue/diamicton,diamicton
GNGP,,,http://inspire.ec.europa.eu/codelist/LithologyValue/granite,granite
VCBR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock,pyroclastic rock
BAOM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
BAROCM,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
BARPMA,,,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,basalt
MUG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ultramaficIgneousRock,ultramafic igneous rock
PYRR,,,http://inspire.ec.europa.eu/codelist/LithologyValue/pyroclasticRock,pyroclastic rock
TUAG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffBrecciaAgglomerateOrPyroclasticBreccia,"tuff-breccia, agglomerate, or pyroclastic breccia"
TUAG,,,http://inspire.ec.europa.eu/codelist/LithologyValue/ashTuffLapillistoneAndLapilliTuff,"ash tuff, lapillistone, and lapilli tuff"
CYCS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,sandstone
CYCS,,,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,siltstone
LMST,,,http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,limestone
